SourceType,SessionTag,DeltaLoadTimeStampName,DeltaHandle,LoadFrequency,DeltaKeyColumns,RawLakehouse,VaultPrivateKeyName,AuthUserName,EndpointType,EndpointPath,DataPath,SourceQuery,SourceFileName,TargetTableName,SourceFileFormat,SourceProcessType,Options,LastRunTimeStamp
Salesforce,G1,SystemModstamp,append,0.5,Id,LH_Bronze,SalesforcePrivateKey,integrationuser@ghd.com.qa,query,/services/data/v55.0/queryAll,records,"SELECT Id, ConversionRate,CreatedById,CreatedDate,DecimalPlaces,IsActive,IsCorporate,IsoCode,LastModifiedById,LastModifiedDate,SystemModstamp FROM CurrencyType WHERE (ConversionRate != null OR ConversionRate = null)",ref_currency.parquet,sf_ref_currency,parquet,Parquet,,
Salesforce,G1,,overwrite,6,,LH_Bronze,SalesforcePrivateKey,integrationuser@ghd.com.qa,ui-api,/services/data/v55.0/ui-api/object-info/User/picklist-values/012000000000000AAA/CountryCode,values,,ref_country.parquet,sf_ref_country,parquet,Parquet,,
Salesforce,G1,,overwrite,6,,LH_Bronze,SalesforcePrivateKey,integrationuser@ghd.com.qa,ui-api,/services/data/v55.0/ui-api/object-info/User/picklist-values/012000000000000AAA/StateCode,values,,ref_country_id.parquet,sf_ref_country_id,parquet,Parquet,isCountry=yes,
Salesforce,G1,SystemModstamp,append,0.5,Id,LH_Bronze,SalesforcePrivateKey,integrationuser@ghd.com.qa,query,/services/data/v55.0/queryAll,records,"SELECT Id, Account.ClientCode__c,AccountId,Amount,CapitalCost__c,EstimatedTotalCostToClient__c,CloseDate,ContractType__c,CreatedBy.EmployeeNumber,CreatedDate,CurrencyIsoCode,Description,EstimatedDuration__c,EstimatedGrossFee__c,ExpectedRevenue,ExternalSystemName__c,ExternalSystemId__c,FundingClient__c,FundingClient__r.ClientCode__c,GetProbability__c,GHDCompany__c,GHDCompany__r.Code__c,GHDRegion__c,GHDRegion__r.Code__c,GoProbability__c,IsConfidential__c,LastModifiedBy.EmployeeNumber,LastModifiedDate,LossReason__c,LossReasonComments__c,Manager__r.EmployeeNumber,MarketSegment__c,Name,OpportunityCode__c,Owner.EmployeeNumber,OwnerId,Parent__c,Parent__r.OpportunityCode__c,PrimaryBusinessUnit__c,PrimaryBusinessUnit__r.Code__c,Probability,ProfileCategory__c,ProjectEndDate__c,ProjectStartDate__c,ProposalDueDate__c,RFPDate__c,StageName,ServiceLine__c,Source__c,SubmissionType__c,Sponsor__r.EmployeeNumber  FROM Opportunity WHERE (Account.ClientCode__c != null OR Account.ClientCode__c = null)",Opportunity.parquet,sf_opportunity,parquet,Parquet,,
Salesforce,G1,,overwrite,6,,LH_Bronze,SalesforcePrivateKey,integrationuser@ghd.com.qa,tooling,/services/data/v55.0/tooling/query,records,"SELECT FullName, MasterLabel, Metadata FROM GlobalValueSet WHERE (MasterLabel = 'Profile Category' ) ",ref_profile_category.parquet,sf_ref_profile_category,parquet,Parquet,,
Salesforce,G2,,overwrite,6,,LH_Bronze,SalesforcePrivateKey,integrationuser@ghd.com.qa,tooling,/services/data/v55.0/tooling/query,records,"SELECT FullName, MasterLabel, Metadata FROM GlobalValueSet WHERE ( MasterLabel = 'Vendor Type')",ref_vendor_type.parquet,sf_ref_vendor_type,parquet,Parquet,,
Salesforce,G2,,overwrite,6,,LH_Bronze,SalesforcePrivateKey,integrationuser@ghd.com.qa,tooling,/services/data/v55.0/tooling/query,records,"SELECT FullName, MasterLabel, Metadata FROM GlobalValueSet WHERE ( MasterLabel = 'Vendor Sub Type')",ref_vendor_sub_type.parquet,sf_ref_vendor_sub_type,parquet,Parquet,,
Salesforce,G2,,overwrite,6,,LH_Bronze,SalesforcePrivateKey,integrationuser@ghd.com.qa,tooling,/services/data/v55.0/tooling/query,records,"SELECT FullName, MasterLabel, Metadata FROM GlobalValueSet WHERE ( MasterLabel = 'Tax Identifier Types')",ref_tax_Identifier_types.parquet,sf_ref_tax_Identifier_types,parquet,Parquet,,
Salesforce,G2,,overwrite,6,,LH_Bronze,SalesforcePrivateKey,integrationuser@ghd.com.qa,tooling,/services/data/v55.0/tooling/query,records,"SELECT FullName, MasterLabel, Metadata FROM GlobalValueSet WHERE ( MasterLabel = 'Market Segment')",ref_market_segment.parquet,sf_ref_market_segment,parquet,Parquet,,
Salesforce,G2,,overwrite,6,,LH_Bronze,SalesforcePrivateKey,integrationuser@ghd.com.qa,tooling,/services/data/v55.0/tooling/query,records,"SELECT FullName, MasterLabel, Metadata FROM GlobalValueSet WHERE ( MasterLabel = 'Service Lines')",ref_service_lines.parquet,sf_ref_service_lines,parquet,Parquet,,
Salesforce,G2,,overwrite,6,,LH_Bronze,SalesforcePrivateKey,integrationuser@ghd.com.qa,tooling,/services/data/v55.0/tooling/query,records,"SELECT FullName, MasterLabel, Metadata FROM GlobalValueSet WHERE ( MasterLabel = 'Client Type')",ref_client_type.parquet,sf_ref_client_type,parquet,Parquet,,
Salesforce,G3,,overwrite,6,,LH_Bronze,SalesforcePrivateKey,integrationuser@ghd.com.qa,query,/services/data/v55.0/queryAll,records,"SELECT Active__c, Code__c, CreatedBy.Id, CreatedBy.EmployeeNumber, CreatedDate, CurrencyIsoCode, GHDCompanyCode__c, Id, LastModifiedBy.Id, LastModifiedBy.EmployeeNumber, LastModifiedDate, Name, Owner.Id,  SystemModstamp FROM ghdCompany__c WHERE (Active__c != null OR Active__c = null)",ref_ghd_companies.parquet,sf_ref_ghd_companies,parquet,Parquet,,
Salesforce,G3,,overwrite,6,,LH_Bronze,SalesforcePrivateKey,integrationuser@ghd.com.qa,query,/services/data/v55.0/queryAll,records,"SELECT Active__c, Code__c, CreatedBy.Id, CreatedBy.EmployeeNumber, CreatedDate, CurrencyIsoCode, ghdCompany__r.GHDCompanyCode__c, Id, LastModifiedBy.Id, LastModifiedBy.EmployeeNumber, LastModifiedDate, Name, Owner.Id, SystemModstamp FROM ghdRegion__c WHERE (Active__c != null OR Active__c = null)",ref_ghd_regions.parquet,sf_ref_ghd_regions,parquet,Parquet,,
Salesforce,G3,,overwrite,6,,LH_Bronze,SalesforcePrivateKey,integrationuser@ghd.com.qa,ui-api,/services/data/v55.0/ui-api/object-info/User/picklist-values/012000000000000AAA/StateCode,values,,ref_state.parquet,sf_ref_state,parquet,Parquet,,
Salesforce,G3,,overwrite,6,,LH_Bronze,SalesforcePrivateKey,integrationuser@ghd.com.qa,ui-api,/services/data/v55.0/ui-api/object-info/User/picklist-values/012000000000000AAA/CurrencyIsoCode,values,,ref_currency_iso_code.parquet,sf_ref_currency_iso_code,parquet,Parquet,,
Salesforce,G3,SystemModstamp,append,0.5,Id,LH_Bronze,SalesforcePrivateKey,integrationuser@ghd.com.qa,query,/services/data/v55.0/queryAll,records,"SELECT Account.Id, Account.AccountNumber,  ClientType__c, Account.AccountSource, Account.AdditionalName__c, Account.AdditionalNotesfromRequestor__c,  Account.AssessmentComments__c, Assignee__r.EmployeeNumber, Account.BillingCity, Account.BillingCountry, Account.BillingCountryCode, Account.BillingGeocodeAccuracy, Account.BillingLatitude, Account.BillingLongitude, Account.BillingPostalCode, Account.BillingState, Account.BillingStateCode, Account.BillingStreet, Account.BSTSyncStatus__c, Account.BusinessSize__c, Account.CarbonNeutralNetZeroGoal__c, Account.CompanyNo__c, (SELECT Id,  ContactId,  Contact.Id,  Role FROM AccountContactRoles), Account.CorruptionPerceptionIndex__c, Account.CreatedById, CreatedBy.Id, CreatedBy.EmployeeNumber, Account.CreatedDate, Account.CurrencyIsoCode, Account.Description, Account.DUNSNumber__c, Account.DiverseEmploymentPracticeStrategies__c, Account.EngagingFor__c, Account.EntityType__c, Account.EnvironmentalSocialIssuesReview__c, Account.EscalatedtoIDATeam__c, Account.EscalatedtoInsuranceTeam__c, Account.EscalatedtoIntegrityTeam__c, Account.EstimatedStartDate__c, Account.ExpectedCompletionDate__c, Account.ExternalSystemId__c, Account.ExternalSystemName__c, Account.Fax, Account.GHDRepresentativeWillbeAtsite__c, Account.HighRiskActivities__c, Account.HighRiskAssessmentOutcome__c, Account.IDATeamComments__c, Account.Industry, Account.InitialContactEmail__c, Account.InitialContactName__c, Account.InsuranceCertificatesCoverParent__c, Account.InsuranceTeamAssessmentoutcome__c, Account.IntegrityTeamAssessmentoutcome__c, Account.IsDeleted, Account.IsIDAProject__c, Account.IsSingleUseOnly__c, Account.IsStrategicRelationship__c, Account.IsVigilantVendor__c, Account.LastActivityDate, Account.LastModifiedById, LastModifiedBy.Id, LastModifiedBy.EmployeeNumber, Account.LastModifiedDate, Account.LastReferencedDate, Account.LastViewedDate, Account.LegalName__c, Account.MailingOfficeName__c, Account.MasterRecordId, Account.ModernSlaveryPolicies__c, Account.Name, Account.NumberOfEmployees, Account.OtherEntityType__c, Account.OwnerId, Owner.Id, Owner.EmployeeNumber, Account.Ownership, Account.ParentId, Parent.VendorCode__c, Account.ParentOrgOffersSameServices__c, Account.PendingInactivation__c, Phone, Account.PhotoUrl, Account.PrimaryOfficeName__c, Account.PriorName__c, Account.ProjectNumbers__c, Account.Rating, RecordType.Id, RecordType.Name, Account.ReferredforHighRiskActivities__c, Account.RegistrationDate__c, Account.RegistrationExpiryDate__c, Account.RegistrationStatus__c, Account.RequestorLocation__c, Account.RequestorName__c, Account.Scope__c, Account.Service__c, Account.ShippingCity, Account.ShippingCountry, Account.ShippingCountryCode, Account.ShippingGeocodeAccuracy, Account.ShippingLatitude, Account.ShippingLongitude, Account.ShippingPostalCode, Account.ShippingState, Account.ShippingStateCode, Account.ShippingStreet, Account.Stage__c, Account.StateTerritoryProvinceofInitialWork__c, Account.Status__c, Account.StatusNotes__c, Account.SummaryofAssessment__c, Account.SummaryofQHSEAssessment__c, Account.SustainabilityComments__c, Account.SustainableProcurementPolicy__c, Account.SystemModstamp, Account.TaxId__c, Account.TaxIdType__c, Account.ToBeDeleted__c, Account.Type, Account.UndertheSameHSEQManagementSystems__c, Account.Variance__c, Account.VarianceNotes__c, Account.VendorSubType__c, Account.VendorType__c, Account.VendorCode__c, Account.Website FROM Account WHERE (RecordType.Name = 'Client' OR RecordType.Name = 'Vendor')",Account.parquet,sf_account,parquet,Parquet,,
Salesforce,G3,SystemModstamp,append,0.5,,LH_Bronze,SalesforcePrivateKey,integrationuser@ghd.com.qa,query,/services/data/v55.0/queryAll,records,"SELECT CreatedBy.EmployeeNumber, CreatedDate, IsDeleted, LastModifiedBy.EmployeeNumber, LastModifiedDate, Name, Opportunity__c, Opportunity__r.OpportunityCode__c,SubCategory__c, SystemModstamp FROM StrategicSubCategory__c WHERE (Name != null OR Name = null)",StrategicSubCategory.parquet,sf_strategic_subcategory,parquet,Parquet,,
Salesforce,G3,SystemModstamp,append,0.5,,LH_Bronze,SalesforcePrivateKey,integrationuser@ghd.com.qa,query,/services/data/v55.0/queryAll,records,"SELECT CreatedBy.EmployeeNumber, CreatedDate, Fee__c, IsDeleted, LastModifiedBy.EmployeeNumber,  LastModifiedDate, Name, Opportunity__c, Opportunity__r.OpportunityCode__c, ServiceLine__c, SystemModstamp FROM ContributingServiceLine__c WHERE (Name != null OR Name = null)",ContributingServiceLine.parquet,sf_contributing_service_line,parquet,Parquet,,
SQLPROD,G1,,,,,,,,,,,,,,,,,
